user_id,n_skills,n_mastered_in_path,pct_wasted
78953,8,3,37.5
78954,8,6,75.0
78955,7,7,100.0
78956,6,1,16.666666666666664
78957,8,8,100.0
78958,8,5,62.5
78959,8,3,37.5
78968,51,43,84.31372549019608
78969,34,27,79.41176470588235
78970,68,53,77.94117647058823
78971,57,48,84.21052631578947
78972,69,58,84.05797101449275
78973,18,10,55.55555555555556
78974,65,62,95.38461538461539
78975,13,9,69.23076923076923
78976,65,59,90.76923076923077
78977,67,58,86.56716417910447
78978,68,56,82.35294117647058
78979,66,52,78.78787878787878
78980,70,63,90.0
78981,65,61,93.84615384615384
78982,66,59,89.39393939393939
78983,68,62,91.17647058823529
78984,68,62,91.17647058823529
78985,69,66,95.65217391304348
78986,44,32,72.72727272727273
78987,59,51,86.4406779661017
78988,69,62,89.85507246376811
78989,69,62,89.85507246376811
78990,67,59,88.05970149253731
78991,70,62,88.57142857142857
78992,65,62,95.38461538461539
78993,8,5,62.5
78994,8,6,75.0
78995,8,6,75.0
78996,6,1,16.666666666666664
78997,8,7,87.5
78998,6,5,83.33333333333334
78999,2,1,50.0
79000,8,4,50.0
79001,8,2,25.0
79002,7,6,85.71428571428571
79003,4,2,50.0
79004,6,4,66.66666666666666
79005,8,1,12.5
79006,8,6,75.0
79007,8,5,62.5
79008,7,1,14.285714285714285
79009,2,1,50.0
79010,4,2,50.0
79011,8,1,12.5
79012,67,64,95.52238805970148
79013,68,65,95.58823529411765
79014,68,62,91.17647058823529
79015,65,57,87.6923076923077
79016,67,58,86.56716417910447
79017,46,27,58.69565217391305
79018,68,62,91.17647058823529
79019,71,63,88.73239436619718
79020,71,61,85.91549295774648
79021,71,63,88.73239436619718
79022,67,63,94.02985074626866
79023,67,63,94.02985074626866
79024,59,48,81.35593220338984
79026,64,59,92.1875
79027,69,62,89.85507246376811
79029,68,64,94.11764705882352
79030,30,18,60.0
79031,68,59,86.76470588235294
79032,66,55,83.33333333333334
79033,69,61,88.40579710144928
79034,71,57,80.28169014084507
79054,67,63,94.02985074626866
79055,66,63,95.45454545454545
79056,65,63,96.92307692307692
79057,64,60,93.75
79058,64,61,95.3125
79059,63,61,96.82539682539682
79060,68,66,97.05882352941177
79061,65,61,93.84615384615384
